"행정구역(시군구)별(1)","성별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역(시군구)별(1)","성별(1)",총계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세이상,총계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세이상,총계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세이상,총계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세이상,총계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세이상,총계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세이상,총계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세이상,총계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세이상,총계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세이상,총계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60세이상
"총계","계",985923,16021,8358,5190,16991,131909,203502,157552,104874,92633,83091,74800,55671,21132,6675,3399,2234,1891,1091531,20640,10724,6314,18661,130729,215244,173522,116418,99569,93829,94471,72432,25331,7422,2862,1733,1630,1143087,24871,13354,7331,21142,130813,217574,182268,122527,97410,97171,100532,83946,29651,8573,2796,1596,1532,1161677,29313,16128,8667,26153,140027,210431,186674,125572,92425,95123,104510,78082,33957,8730,2883,1479,1523,1171762,31331,19310,10563,29756,145799,204091,191403,133639,89819,95058,96948,78123,30759,9067,3029,1492,1575,1246626,34056,22220,13023,34133,167218,203632,197761,141258,93133,97215,98962,93851,33736,9833,3383,1520,1692,1271807,35716,25403,15071,37128,178319,200815,198011,144848,97207,92395,93758,96514,37764,11348,4056,1673,1781,1145540,32792,25210,15569,22524,146904,177811,184248,141184,93558,79514,82618,86076,37229,12169,4605,1686,1843,1093891,30278,27249,17242,21531,135385,169074,171318,141376,93682,72032,76945,83294,31854,13727,5118,1841,1945,1189585,30864,27795,17272,29227,156365,193856,184976,154085,103958,71354,78212,77469,64152
"총계","남자",562695,8267,4331,2720,7583,69368,124673,103158,69094,53545,40616,35140,26893,10736,3452,1547,868,704,628279,10612,5451,3271,8244,69984,133900,114872,76697,58737,46817,44563,35092,13147,3928,1493,778,693,656265,12592,6788,3756,9374,69742,135256,119910,80452,58519,49564,47625,39981,15295,4496,1479,745,691,664800,14920,8301,4388,11409,73401,132172,121525,81946,55846,49062,50136,36544,17517,4609,1606,718,700,671426,15930,9921,5370,13306,75846,129275,124050,86502,54202,49783,47084,36741,15469,4754,1698,774,721,716525,17302,11314,6608,15545,89454,130355,127746,90653,55878,52059,49141,44858,16898,5194,1904,835,781,727281,18299,12822,7622,16481,95537,128640,126766,91857,57723,49745,46827,46097,18882,5942,2277,922,842,651360,16748,12720,7943,9967,77967,112094,116555,88403,55444,42628,41053,40944,18151,6325,2608,930,880,610466,15414,13723,8842,9705,66888,104167,107357,87064,55011,38348,37755,39121,15081,7131,2874,1051,934,672203,15771,14035,8781,13319,77416,121088,119916,96524,61217,37916,38494,35954,31772
"총계","여자",423228,7754,4027,2470,9408,62541,78829,54394,35780,39088,42475,39660,28778,10396,3223,1852,1366,1187,463252,10028,5273,3043,10417,60745,81344,58650,39721,40832,47012,49908,37340,12184,3494,1369,955,937,486822,12279,6566,3575,11768,61071,82318,62358,42075,38891,47607,52907,43965,14356,4077,1317,851,841,496877,14393,7827,4279,14744,66626,78259,65149,43626,36579,46061,54374,41538,16440,4121,1277,761,823,500336,15401,9389,5193,16450,69953,74816,67353,47137,35617,45275,49864,41382,15290,4313,1331,718,854,530101,16754,10906,6415,18588,77764,73277,70015,50605,37255,45156,49821,48993,16838,4639,1479,685,911,544526,17417,12581,7449,20647,82782,72175,71245,52991,39484,42650,46931,50417,18882,5406,1779,751,939,494180,16044,12490,7626,12557,68937,65717,67693,52781,38114,36886,41565,45132,19078,5844,1997,756,963,483425,14864,13526,8400,11826,68497,64907,63961,54312,38671,33684,39190,44173,16773,6596,2244,790,1011,517382,15093,13760,8491,15908,78949,72768,65060,57561,42741,33438,39718,41515,32380
"강원도","계",13409,86,72,58,277,2879,3169,1998,1222,1018,807,724,583,276,118,59,38,25,14443,98,78,63,353,2895,3202,2214,1376,1053,912,890,713,354,125,64,25,28,15108,126,94,63,396,2907,3205,2391,1472,1048,1004,960,781,393,149,62,25,32,15833,144,98,72,461,3116,3187,2521,1543,1084,1044,1094,767,411,160,79,22,30,16949,162,105,90,557,3702,3295,2602,1742,1097,1112,1071,752,366,162,77,24,33,18261,167,118,110,640,4253,3611,2689,1878,1137,1101,1099,811,370,139,76,29,33,19069,186,140,121,604,4335,3874,2798,2024,1237,1082,1104,877,396,144,74,41,32,17332,174,125,109,281,3490,3714,2751,2004,1227,975,976,835,389,134,74,39,35,17384,172,142,111,394,3054,3684,2743,2197,1416,953,969,871,381,143,68,49,37,20472,218,162,115,596,3645,4190,3438,2611,1663,1021,1055,943,815
"강원도","남자",6330,49,30,35,113,1242,1590,1075,732,500,244,258,243,114,56,26,16,7,7016,55,34,35,146,1304,1635,1213,840,555,307,316,305,156,63,31,11,10,7567,67,37,36,168,1412,1668,1355,900,566,385,341,334,174,70,28,14,12,8105,73,41,38,221,1643,1697,1430,926,578,426,394,310,199,65,45,7,12,8942,83,43,41,291,2090,1827,1485,1025,598,476,393,287,172,68,40,11,12,9908,81,52,52,338,2483,2158,1544,1076,607,491,416,320,159,63,42,13,13,10384,94,67,54,297,2560,2357,1610,1153,648,486,420,336,165,68,36,21,12,9444,89,68,48,148,2053,2318,1554,1130,643,421,384,301,153,64,39,18,13,9411,88,73,51,210,1738,2300,1536,1257,749,428,388,294,153,77,30,27,12,11478,108,84,57,326,2118,2655,2069,1592,896,481,406,330,356
"강원도","여자",7079,37,42,23,164,1637,1579,923,490,518,563,466,340,162,62,33,22,18,7427,43,44,28,207,1591,1567,1001,536,498,605,574,408,198,62,33,14,18,7541,59,57,27,228,1495,1537,1036,572,482,619,619,447,219,79,34,11,20,7728,71,57,34,240,1473,1490,1091,617,506,618,700,457,212,95,34,15,18,8007,79,62,49,266,1612,1468,1117,717,499,636,678,465,194,94,37,13,21,8353,86,66,58,302,1770,1453,1145,802,530,610,683,491,211,76,34,16,20,8685,92,73,67,307,1775,1517,1188,871,589,596,684,541,231,76,38,20,20,7888,85,57,61,133,1437,1396,1197,874,584,554,592,534,236,70,35,21,22,7973,84,69,60,184,1316,1384,1207,940,667,525,581,577,228,66,38,22,25,8994,110,78,58,270,1527,1535,1369,1019,767,540,649,613,459
"경기도","계",314715,5699,2382,1241,3700,32154,64379,54734,36541,32457,28650,24575,17859,6553,1828,915,613,435,352166,7633,3247,1524,3724,31317,68251,59973,40801,34824,32664,32159,24476,7964,2071,748,447,343,369665,9396,4298,1912,4016,29838,68418,62818,43314,33957,34201,34859,29324,9433,2451,689,400,341,373923,11266,5419,2380,4478,30635,65965,64593,44418,32210,33477,36875,27392,10982,2408,720,374,331,381628,12398,6818,3190,5176,30808,64963,66635,48170,31890,34366,35098,27999,10044,2591,764,370,348,408526,13836,8190,4185,6061,35277,64419,68923,50920,33157,35903,36667,35089,11329,2897,919,373,381,414318,14885,9541,5038,6555,36642,61811,68553,51859,34848,34106,35077,36707,13233,3476,1161,415,411,380144,14152,10017,5512,4890,29928,53750,63750,50857,33965,29181,31427,33389,13173,3897,1402,414,440,360412,13005,11121,6338,5232,26058,49069,58340,50550,34022,26263,29264,33004,10982,4601,1596,493,474,382865,13009,11497,6327,6757,30589,54287,61690,54228,37306,25724,29594,30049,21808
"경기도","남자",187366,2951,1230,650,1885,20386,41814,36480,23920,18564,14307,11656,8537,3262,916,393,247,168,210518,3874,1670,794,1877,20628,44981,40440,26668,20188,16490,15209,11762,4130,1055,381,210,161,220569,4762,2185,966,2057,19780,45621,41897,28397,20133,17544,16546,13830,4863,1256,371,185,176,224598,5736,2801,1189,2223,20328,45201,43146,29196,19351,17399,17734,12661,5634,1242,398,189,170,231342,6308,3510,1588,2543,20353,45439,44682,31753,19317,18136,17368,13174,5010,1337,442,198,184,248438,7096,4150,2089,2973,23450,45776,46433,33327,20276,19426,18595,16695,5699,1518,520,214,201,250595,7693,4749,2550,2995,23915,44019,46071,33715,21190,18543,18002,17596,6629,1826,654,229,219,227462,7224,5051,2800,2278,18709,37828,42580,32570,20639,15930,15960,16115,6502,2014,795,237,230,210998,6561,5668,3218,2501,14890,33711,38641,31750,20389,14172,14655,15732,5268,2414,895,282,251,226867,6578,5851,3211,3254,17627,37832,41939,34332,22273,13913,14873,14243,10941
